ImagePath	Label
train/plastik/plastic1000_jpg.rf.95ce60bfa39d5f58268fed7c803e16bd.jpg	Plastik
train/plastik/plastic1002_jpg.rf.050ef38d1953a38ae07d3ad0f5ecdeae.jpg	Plastik
train/plastik/plastic1005_jpg.rf.a15dffbe756cdbf4776badf294e7eb2d.jpg	Plastik
train/plastik/plastic1008_jpg.rf.a0800dd441d06efc27f04e74bcb17bbf.jpg	Plastik
train/plastik/plastic1011_jpg.rf.5e011fd11806d79ed4373fa3ee00e230.jpg	Plastik
train/plastik/plastic1014_jpg.rf.819f5f6039c59284a07a84654711e086.jpg	Plastik
train/plastik/plastic1017_jpg.rf.b6ce50719f98188dbcc68963ea02cce6.jpg	Plastik
train/plastik/plastic101_jpg.rf.64a6e8898b121dfb844736d06598f9fa.jpg	Plastik
train/plastik/plastic1020_jpg.rf.4e9a9f7c246cd99a212989e76e8f1f50.jpg	Plastik
train/plastik/plastic1024_jpg.rf.88933b6bb1bc184254cbd3c89bee28c5.jpg	Plastik
train/plastik/plastic1029_jpg.rf.08ce629a36fc4b3ad66d9e9e88a814d6.jpg	Plastik
train/plastik/plastic1035_jpg.rf.a522719a29d43d9b773d6e64e9e58d60.jpg	Plastik
train/plastik/plastic1036_jpg.rf.453f3fc06f5cae9eb31f1086740d736c.jpg	Plastik
train/plastik/plastic1037_jpg.rf.b9c9d92098e9a2e4cf849e130070bedc.jpg	Plastik
train/plastik/plastic103_jpg.rf.73d937bf968bb443f529dd4517a3e581.jpg	Plastik
train/plastik/plastic1042_jpg.rf.7156dc527a30d9e2047bd1a652cc7509.jpg	Plastik
train/plastik/plastic1043_jpg.rf.fc76d8e9d47500d35a7c4bd4debd7d3a.jpg	Plastik
train/plastik/plastic1044_jpg.rf.a98503825b68b636b22df5ed96073695.jpg	Plastik
train/plastik/plastic1046_jpg.rf.0d7c0c20f26ac6ca342bfc6bf8487739.jpg	Plastik
train/plastik/plastic1048_jpg.rf.f3b65940675153f10623046c95742fb3.jpg	Plastik
train/plastik/plastic1050_jpg.rf.92d4396b7a953d335b3e4a3c30080e73.jpg	Plastik
train/plastik/plastic1051_jpg.rf.015e8aa1fde1cf491f2cba3a2cee9c77.jpg	Plastik
train/plastik/plastic1052_jpg.rf.eec7a7107cf3a6dc6c3add848d2ff4d1.jpg	Plastik
train/plastik/plastic1056_jpg.rf.f63be477cad13b04cdb64c99beca7b4e.jpg	Plastik
train/plastik/plastic1063_jpg.rf.6b3c8bf2c5e544548b2bee978b6ddc42.jpg	Plastik
train/plastik/plastic1065_jpg.rf.02d4099b0ef672bb9937195616b1eac5.jpg	Plastik
train/plastik/plastic1067_jpg.rf.c1075440656785e46bc440ac699dd5a8.jpg	Plastik
train/plastik/plastic1070_jpg.rf.75f888a0feffa542a2750e4a09ad9853.jpg	Plastik
train/plastik/plastic1072_jpg.rf.2481cd669a065842b9673e29ab639c1e.jpg	Plastik
train/plastik/plastic1073_jpg.rf.a2b088c76a6292a82da25f0e128f1b59.jpg	Plastik
train/plastik/plastic1077_jpg.rf.6f59a27f402df18c6089913f05334ecc.jpg	Plastik
train/plastik/plastic107_jpg.rf.34aedd16c6281cf16aa8be858d14af84.jpg	Plastik
train/plastik/plastic1085_jpg.rf.c195b23a0b44e2a856e2749b2c0b499b.jpg	Plastik
train/plastik/plastic1087_jpg.rf.a5b8ea52dcb5813e43041793e8969281.jpg	Plastik
train/plastik/plastic1090_jpg.rf.3de032c2dca415d7dd0630efd2dff365.jpg	Plastik
train/plastik/plastic1100_jpg.rf.9af6ba9019b43b0985dc351e66d38338.jpg	Plastik
train/plastik/plastic1103_jpg.rf.324a4d333f5db24b99a3e5228cc90f6e.jpg	Plastik
train/plastik/plastic1106_jpg.rf.546a42c3e7ffdee4f211df10b5246f85.jpg	Plastik
train/plastik/plastic1108_jpg.rf.a177e3d8318f1b4a0f2f296c710a9903.jpg	Plastik
train/plastik/plastic1117_jpg.rf.148604128e6475e71065ad443c98c6b1.jpg	Plastik
train/plastik/plastic1119_jpg.rf.25ea69edabae9dc5a9332fb141acf818.jpg	Plastik
train/plastik/plastic111_jpg.rf.a322427797b93216fbc616aa9bab22a3.jpg	Plastik
train/plastik/plastic1120_jpg.rf.7f37d3f8578d8202a2ef5f7482e7d001.jpg	Plastik
train/plastik/plastic1121_jpg.rf.f54f3de93a5d0708492a21a28b3c45a4.jpg	Plastik
train/plastik/plastic1122_jpg.rf.e7ca38914994e4702e6230bc48f4b84c.jpg	Plastik
train/plastik/plastic1126_jpg.rf.dd88c6a67b05b637fff69e5fbe62ed14.jpg	Plastik
train/plastik/plastic1128_jpg.rf.d8e7c4b20912e49bb6cce5cdf82f1f5f.jpg	Plastik
train/plastik/plastic1130_jpg.rf.6bfe9e04d67020ff98b362a81d97b307.jpg	Plastik
train/plastik/plastic1131_jpg.rf.2038396af8062ce13116f81e41c612ae.jpg	Plastik
train/plastik/plastic1135_jpg.rf.e348d8b8bf226d5a07e3277dc4d7abeb.jpg	Plastik
train/plastik/plastic1136_jpg.rf.abdef2536761ccb0ed3040f8ded5bd3e.jpg	Plastik
train/plastik/plastic1144_jpg.rf.517bfd022dc761cc878fbe68826644b6.jpg	Plastik
train/plastik/plastic1145_jpg.rf.1d40d3f101cbb069c4177b0b5491fe8a.jpg	Plastik
train/plastik/plastic1147_jpg.rf.b31faca8f206919d817078f70c6abf2d.jpg	Plastik
train/plastik/plastic1150_jpg.rf.0f3cd75d881833d6513079e6efa023c5.jpg	Plastik
train/plastik/plastic1151_jpg.rf.8b1894837e64f381fc5d1b64577c8fb1.jpg	Plastik
train/plastik/plastic1154_jpg.rf.64b60c3948c7c4114afea9f67bd8eabc.jpg	Plastik
train/plastik/plastic1155_jpg.rf.5023afd1e1545cc8df56e0f495afcd92.jpg	Plastik
train/plastik/plastic1159_jpg.rf.42409a90c97bc7c157add229d295c3d1.jpg	Plastik
train/plastik/plastic115_jpg.rf.44ac99495e3f88b19e5c908057fc81a4.jpg	Plastik
train/plastik/plastic1161_jpg.rf.75af89fd4dc0c39790194564a9851a99.jpg	Plastik
train/plastik/plastic1162_jpg.rf.426e8004f939e38ac59fc37f0cd226c6.jpg	Plastik
train/plastik/plastic122_jpg.rf.23e3bd37474ea824b8b05f374dd60ab9.jpg	Plastik
train/plastik/plastic124_jpg.rf.ac4e6a3d7d6815c92272f60000ece9bf.jpg	Plastik
train/plastik/plastic127_jpg.rf.a641a9c64d2244d0cd9ad1c94dd6ac0e.jpg	Plastik
train/plastik/plastic130_jpg.rf.9fee68bd7e84a04bc2ce2c8857ef824d.jpg	Plastik
train/plastik/plastic132_jpg.rf.3ff5aef2c1e1130267013b611a808b44.jpg	Plastik
train/plastik/plastic134_jpg.rf.30660e9fc873b7059a9648f7b4cc71a7.jpg	Plastik
train/plastik/plastic139_jpg.rf.a7cc5c65dfe7fc376e7c6a6b19a07ffd.jpg	Plastik
train/plastik/plastic140_jpg.rf.a065e1ad09255014369d2d41571c5798.jpg	Plastik
train/plastik/plastic142_jpg.rf.8d3f1d69064a6da810a457df81dc4789.jpg	Plastik
train/plastik/plastic146_jpg.rf.310a873d1ea3be5571b73c5f582e37ea.jpg	Plastik
train/plastik/plastic148_jpg.rf.e8c639289800792a254ef85e2d9141f4.jpg	Plastik
train/plastik/plastic14_jpg.rf.f5c06706fd16387a89d049e1d8e0bd5d.jpg	Plastik
train/plastik/plastic152_jpg.rf.246260a8d05c223e7d363b50a96a2c5c.jpg	Plastik
train/plastik/plastic157_jpg.rf.6b65d12923e6c4cc9e86d580a358d8c8.jpg	Plastik
